"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"15","RC1","=~","V38",0,2.13354297942353,0.0967132181033158,22.0605106650916,0,2.13354297942353,0.850865204329148,0.850865204329148
"16","RC1","=~","V39",0,2.27849004488165,0.0915313214911898,24.8930093847816,0,2.27849004488165,0.915284487652898,0.915284487652898
"17","RC1","=~","V40",0,2.19749354611159,0.0944764850522257,23.2596877931777,0,2.19749354611159,0.87926784329851,0.87926784329851
"18","RC2","=~","V11",0,1.62923199106188,0.0872113225916999,18.6814273954943,0,1.62923199106188,0.764513049109939,0.764513049109939
"19","RC2","=~","V12",0,1.84039814793903,0.091323593920765,20.1524936648443,0,1.84039814793903,0.805132411395753,0.805132411395753
"20","RC2","=~","V13",0,1.58389598363657,0.0842000200521235,18.8111117153662,0,1.58389598363657,0.76821208471143,0.76821208471143
"21","RC2","=~","V14",0,1.6258498973341,0.0779585132605013,20.8553220082747,0,1.6258498973341,0.823523583111588,0.823523583111588
"22","RC2","=~","V15",0,1.6420168264162,0.0756466331733048,21.7064098894444,0,1.6420168264162,0.844946224471036,0.844946224471036
"23","RC2","=~","V16",0,1.84104474188084,0.0813472800444799,22.6319151774241,0,1.84104474188084,0.867221871767994,0.867221871767994
"24","RC2","=~","V17",0,1.73108596527273,0.0760775577169441,22.754226308282,0,1.73108596527273,0.870088373917788,0.870088373917788
"25","RC2","=~","V18",0,1.63859727458813,0.0745463927667324,21.9809063024091,0,1.63859727458813,0.851662096264266,0.851662096264266
"26","RC2","=~","V19",0,1.70244241296826,0.074979002242388,22.7055890589835,0,1.70244241296826,0.868950633996665,0.868950633996665
"27","RC2","=~","V20",0,1.73906780863971,0.0739472632483807,23.5176764121531,0,1.73906780863971,0.887584001406031,0.887584001406031
"28","RC2","=~","V21",0,1.55660176385567,0.0729188869054341,21.3470313373594,0,1.55660176385567,0.836011936425621,0.836011936425621
"29","RC3","=~","V1",0,1.53503476610274,0.0949256411211825,16.170918078321,0,1.53503476610274,0.690711237880702,0.690711237880702
"30","RC3","=~","V2",0,1.89035827806469,0.0886468220416091,21.3246028963947,0,1.89035827806469,0.837544950337169,0.837544950337169
"31","RC3","=~","V3",0,1.8787317288828,0.0891469777420469,21.0745420256314,0,1.8787317288828,0.831247534258742,0.831247534258742
"32","RC3","=~","V4",0,2.05734808325692,0.0922861687958288,22.293135689797,0,2.05734808325692,0.861201288477944,0.861201288477944
"33","RC3","=~","V5",0,1.74670310493396,0.0916366205894612,19.0611907521046,0,1.74670310493396,0.777571603989591,0.777571603989591
"34","RC3","=~","V6",0,1.8224142925316,0.0866975570988941,21.020364973523,0,1.8224142925316,0.829872699615247,0.829872699615247
"35","RC3","=~","V7",0,1.87634910735506,0.085398057403086,21.9718008162473,0,1.87634910735506,0.853480308301891,0.853480308301891
"36","RC3","=~","V8",0,1.56944094524653,0.080910683367418,19.3972029394394,0,1.56944094524653,0.786906552851818,0.786906552851818
"37","RC3","=~","V9",0,1.76933868481648,0.0815784635628163,21.6887963752108,0,1.76933868481648,0.846576023110919,0.846576023110919
"38","V24","~~","V24",0,1.79081355444518,0.125545372688983,14.2642736732449,0,1.79081355444518,0.348570148807793,0.348570148807793
"39","V25","~~","V25",0,1.59705606506055,0.112735643641278,14.1663808665727,0,1.59705606506055,0.303842963382733,0.303842963382733
"40","V26","~~","V26",0,1.23640248715921,0.0889868992077206,13.8942080032826,0,1.23640248715921,0.223996588169939,0.223996588169939
"41","V27","~~","V27",0,1.83709743746097,0.129413117497211,14.1956045336793,0,1.83709743746097,0.315943523566085,0.315943523566085
"42","V28","~~","V28",0,1.4956409460566,0.106047857668283,14.1034527141034,0,1.4956409460566,0.280698129026964,0.280698129026964
"43","V29","~~","V29",0,1.45878308855126,0.104272135388753,13.9901526243089,0,1.45878308855126,0.246855671722624,0.246855671722624
"44","V30","~~","V30",0,1.26965543202423,0.0914184444521768,13.8883946191889,0,1.26965543202423,0.222747063289654,0.222747063289654
"45","V31","~~","V31",0,1.68823698434121,0.119621402453877,14.113168293543,0,1.68823698434121,0.284038177739842,0.284038177739842
"46","V32","~~","V32",0,1.05155461861075,0.0772121818119657,13.6190247954862,0,1.05155461861075,0.177015806191409,0.177015806191409
"47","V33","~~","V33",0,1.23550113284314,0.0890116970016746,13.8802109662048,0,1.23550113284314,0.22101156392036,0.22101156392036
"48","V34","~~","V34",0,1.00489701809344,0.0740337132446145,13.5735055564911,0,1.00489701809344,0.171083403707203,0.171083403707203
"49","V35","~~","V35",0,1.11058358307497,0.0805907239877886,13.7805386044583,0,1.11058358307497,0.201860216981591,0.201860216981591
"50","V36","~~","V36",0,0.750322014746518,0.0574887769205685,13.0516259857681,0,0.750322014746518,0.123609570024722,0.123609570024722
"51","V37","~~","V37",0,1.21251627056866,0.0881791983343978,13.7505930363587,0,1.21251627056866,0.196739528951855,0.196739528951855
"52","V38","~~","V38",0,1.7355416435298,0.123180012859811,14.0894744466782,0,1.7355416435298,0.276028404061917,0.276028404061917
"53","V39","~~","V39",0,1.00549125986235,0.0744831234224301,13.4995850557947,0,1.00549125986235,0.162254306661972,0.162254306661972
"54","V40","~~","V40",0,1.41717824528725,0.101900913955216,13.907414470395,0,1.41717824528725,0.226888059741188,0.226888059741188
"55","V11","~~","V11",0,1.88706897295748,0.13506366509371,13.9716997287774,0,1.88706897295748,0.415519797740624,0.415519797740624
"56","V12","~~","V12",0,1.83796666468683,0.133708844714332,13.7460365364284,0,1.83796666468683,0.35176180012006,0.35176180012006
"57","V13","~~","V13",0,1.74227293183202,0.124853937795647,13.9544892423311,0,1.74227293183202,0.409850192903319,0.409850192903319
"58","V14","~~","V14",0,1.25431575279478,0.0921681847161531,13.608988358159,0,1.25431575279478,0.321808908059052,0.321808908059052
"59","V15","~~","V15",0,1.08034663799294,0.0805766382699301,13.407690630798,0,1.08034663799294,0.286065877752142,0.286065877752142
"60","V16","~~","V16",0,1.11735379701587,0.0851085702832809,13.1285696998175,0,1.11735379701587,0.247926225127217,0.247926225127217
"61","V17","~~","V17",0,0.961658087729499,0.0734896188970114,13.0856317145578,0,0.961658087729499,0.242946221573099,0.242946221573099
"62","V18","~~","V18",0,1.01677226699417,0.0762629464410356,13.3324545463283,0,1.01677226699417,0.274671673786755,0.274671673786755
"63","V19","~~","V19",0,0.940128906368306,0.0717496777413015,13.1029007511087,0,0.940128906368306,0.244924795676794,0.244924795676794
"64","V20","~~","V20",0,0.814607701148369,0.0637619143015984,12.7757723410752,0,0.814607701148369,0.212194640448059,0.212194640448059
"65","V21","~~","V21",0,1.043801262702,0.0773293843467871,13.4981193956107,0,1.043801262702,0.301084042153883,0.301084042153883
"66","V1","~~","V1",0,2.58271787118419,0.183732301096467,14.0569614366728,0,2.58271787118419,0.522917985865308,0.522917985865308
"67","V2","~~","V2",0,1.5206987351886,0.116602159300665,13.0417716473621,0,1.5206987351886,0.298518456164709,0.298518456164709
"68","V3","~~","V3",0,1.57857776068515,0.120295796591458,13.1224681610965,0,1.57857776068515,0.309027536788761,0.309027536788761
"69","V4","~~","V4",0,1.47429702730433,0.116339254820992,12.6723953112197,0,1.47429702730433,0.25833234072393,0.25833234072393
"70","V5","~~","V5",0,1.99514623953837,0.146462090697728,13.6222706506082,0,1.99514623953837,0.395382400669054,0.395382400669054
"71","V6","~~","V6",0,1.50129541526978,0.114260095885612,13.1392801978108,0,1.50129541526978,0.311311302433303,0.311311302433303
"72","V7","~~","V7",0,1.31257537303719,0.102495435156581,12.8061837196162,0,1.31257537303719,0.271571363340908,0.271571363340908
"73","V8","~~","V8",0,1.51466144283656,0.111752013563382,13.5537731673845,0,1.51466144283656,0.380778077078869,0.380778077078869
"74","V9","~~","V9",0,1.23751492605096,0.0958249484965844,12.9143291540102,0,1.23751492605096,0.283309037093701,0.283309037093701
"75","RC1","~~","RC1",0,1,0,NA,NA,1,1,1
"76","RC2","~~","RC2",0,1,0,NA,NA,1,1,1
"77","RC3","~~","RC3",0,1,0,NA,NA,1,1,1
"78","RC1","~~","RC2",0,0.762613698366659,0.0214342459073848,35.5792175596863,0,0.762613698366659,0.762613698366659,0.762613698366659
"79","RC1","~~","RC3",0,0.82335793973211,0.0172184672704945,47.8183061707829,0,0.82335793973211,0.82335793973211,0.82335793973211
"80","RC2","~~","RC3",0,0.671759682142536,0.0285952860442936,23.4919728063567,0,0.671759682142536,0.671759682142536,0.671759682142536
