,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
129,bear,-2,-1,3,3,-1,3,3,3,3,1,-3,3,-1,2,-3,3,3,3,-2,-3,-1,3,1,-2,-3,-1,3,-2,-1,-3,3,3,-2,-3,-2,-1,-2,-1,2,-2
130,microbe,-3,-3,-3,-3,-3,-1,-2,0,-1,-2,-2,-2,-2,-1,-2,-1,-3,-1,-3,-2,-3,-3,-1,-3,-3,-1,-1,-2,-2,0,-2,-2,-1,-3,-3,-3,-3,-3,-3,-3
131,mouse,0,-1,3,3,3,3,3,3,3,3,-2,3,1,2,0,3,3,3,3,1,0,2,3,-3,-3,1,1,0,1,1,3,1,0,-1,1,1,-2,1,3,-3
132,adult,2,3,2,3,2,2,3,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,3,3,3,2,2
133,mouse,0,0,3,0,0,3,3,3,3,3,-3,0,0,1,-1,3,2,3,1,0,0,1,1,-2,-2,0,0,-2,1,0,2,0,-1,-3,-2,-1,-1,0,1,-1
134,infant,1,-3,2,-3,2,2,1,2,1,2,-3,0,-2,0,-3,3,3,3,1,2,2,1,1,-3,-2,1,-2,-3,-1,0,3,-2,1,-3,-2,2,-3,1,1,-2
135,chimpanzee,3,3,3,3,2,3,3,3,3,2,-1,3,1,3,0,3,3,3,2,2,2,3,3,0,0,2,2,-1,2,0,3,2,2,3,1,3,-1,3,2,2
136,infant,2,1,3,1,2,3,1,0,2,-2,-3,3,-3,-1,-3,3,3,3,2,0,-2,3,2,-3,-3,2,-2,-3,-3,-2,-1,-3,3,-2,-1,-1,-3,3,3,-3
137,goat,2,1,0,1,2,3,2,2,3,-1,-1,2,-1,1,0,2,2,1,1,1,1,-1,0,-1,-1,2,0,1,1,-1,2,-2,2,-1,-1,1,-1,1,1,2
138,person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
139,dolphin,2,-2,2,2,2,3,3,2,1,1,-3,-1,-1,1,-1,3,2,3,-3,2,2,1,3,-2,-3,3,2,-2,1,2,2,0,1,-3,0,0,-2,1,2,-2
140,elephant,2,2,3,2,1,3,3,3,3,1,-1,1,1,3,0,3,2,3,1,2,2,2,3,0,0,1,3,0,2,2,2,1,2,-1,0,2,1,3,2,2
141,computer,-3,-3,-3,-3,-3,3,-2,-3,-3,-3,3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
142,fish,3,-3,3,-3,3,0,0,0,-3,0,-3,3,0,3,3,3,0,-3,-3,3,3,0,3,-3,-3,3,3,-3,3,3,3,3,3,-3,0,3,3,3,3,3
143,fetus,-2,-3,-3,-3,-2,-1,-3,-1,-3,-3,-3,-3,-3,-2,-3,1,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-3,-3
144,blue jay,0,-3,1,1,-1,3,3,2,-2,2,-3,0,-3,0,-3,3,2,3,0,0,-2,0,1,-3,-3,-2,0,-2,0,2,0,0,0,-3,-2,-1,-3,0,0,-2
145,robot,-3,-3,-3,-3,-3,3,0,3,-3,0,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,-2,3,-3,-3,-3,2,-2,-3,-3,-3,-1,-3,-3,3,-3,-2,0,-3,-3
146,dog,2,0,0,-2,-1,3,3,2,3,-2,-3,-1,-1,-2,-2,3,2,2,0,1,1,2,0,-2,-2,0,0,-1,-1,-1,-2,1,-1,-2,0,1,-1,1,2,-1
147,car,-3,-3,-3,-3,-3,-2,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
148,adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,0,3,3
149,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
150,bear,2,-2,3,3,1,3,3,2,3,3,-2,3,1,2,0,3,3,3,2,3,1,2,3,-2,2,3,3,1,3,3,3,3,3,-3,1,2,1,2,2,1
151,elephant,3,3,3,3,3,3,3,3,3,3,-2,2,3,3,0,3,3,3,3,3,-2,1,2,-1,1,3,1,1,3,3,3,3,3,-1,3,3,3,3,3,3
152,car,-3,-2,-3,-2,-2,-3,-1,-2,-3,-2,-3,-3,-3,-1,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-2,-3,-2,-2,-2,-2,-3,-3,-2,-3,-3,-3
153,fish,0,-1,3,0,1,2,1,3,-3,2,-2,-2,-2,0,-3,3,3,2,2,1,0,0,2,-3,-2,1,0,-1,2,2,1,-1,2,-3,-2,-1,-2,-2,1,-1
154,chimpanzee,3,3,3,3,3,3,3,3,3,3,-2,0,0,3,-2,3,3,3,3,2,3,3,3,-1,3,1,2,1,3,3,1,0,3,-1,3,3,-1,3,3,0
155,dog,1,-2,1,-2,1,1,2,0,3,-2,-3,-2,-1,1,-2,1,2,2,-3,-1,2,1,1,-1,-2,0,0,1,1,0,0,-1,1,-2,-1,1,-1,0,0,-2
156,infant,1,0,1,1,0,3,3,3,3,2,-2,0,-2,0,-3,3,3,3,3,0,1,2,1,-3,-3,0,0,-2,-2,-2,0,0,-2,-3,-2,1,-3,-1,3,-3
157,beetle,-2,-2,-1,-3,-3,0,1,1,0,-1,-2,-2,-2,0,-3,1,-1,-1,-3,-3,-3,-2,-1,-3,-3,-1,0,-3,0,-1,-3,-3,-2,-3,-2,-2,-3,-1,-1,-3
158,dolphin,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,3,2,3
159,person in a persistant vegetative state,-2,2,1,-3,1,1,-3,0,0,-3,-3,1,-2,1,1,0,-2,2,-2,-1,-3,-1,-3,-3,-3,0,-3,-3,-1,-2,-2,-3,-3,-3,-3,-1,-2,2,-3,-1
160,microbe,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
161,robot,-3,-3,-3,-3,-3,3,2,2,1,2,3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,0,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3
162,person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
163,fetus,-2,-2,-2,-3,-1,0,-2,1,-3,-3,-3,-2,-3,-3,-3,2,2,3,1,0,-3,-3,-3,-3,-3,2,-2,-3,-2,-3,-1,-2,-3,-3,-3,-2,-3,-3,-2,-3
164,computer,-3,-3,-3,-3,-3,3,0,0,-3,0,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,0,2,-3,-3,-3,0,-3,-2,0,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3
165,child,3,1,3,2,3,3,3,2,2,2,-1,1,-1,2,-1,3,3,3,3,3,-2,3,2,3,0,0,1,-1,0,-1,2,1,1,2,1,3,-1,2,3,1
166,computer,-3,-3,-3,-3,-3,3,0,3,3,-3,3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,0,1,-3,-3,-3,0,-3,-3,0,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3
167,car,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
168,goat,2,-2,3,2,1,3,3,3,3,1,-2,-2,-1,-2,-3,3,2,3,1,-1,-2,2,1,-2,-2,-3,2,-2,1,1,3,-3,2,-2,-2,-2,-3,0,2,-1
169,microbe,-3,-3,0,-2,-3,-1,0,1,0,-3,-3,-3,-3,-2,-3,3,1,-2,-3,-3,-3,-3,0,-3,-3,-3,-2,-3,-3,-2,-3,-3,0,-3,-3,-3,-3,-3,-3,-3
170,computer,-1,0,-1,0,1,0,-1,3,-2,1,1,0,0,0,0,-2,1,0,1,1,0,0,-1,-2,0,0,0,0,0,0,0,1,-1,-2,0,-1,0,1,0,-1
171,blue jay,0,1,2,0,0,2,0,2,0,0,1,1,0,2,-1,3,1,2,0,1,-2,1,2,-1,-1,1,2,-1,-2,1,0,0,0,-2,-1,0,0,1,0,0
172,dog,1,1,2,2,1,3,3,3,3,0,-3,0,-2,1,-3,3,2,3,-1,2,3,3,0,0,1,0,3,1,2,-2,3,-1,-1,0,2,3,2,1,1,-1
173,frog,0,-2,-1,2,2,3,0,1,1,2,-1,1,1,0,0,3,1,1,2,1,0,1,0,-1,-1,-2,2,0,0,0,0,1,0,-1,-1,1,2,0,0,-1
174,elephant,3,3,3,3,2,3,3,2,2,1,-3,2,-2,3,-3,3,3,3,-3,3,2,2,3,1,1,1,-3,-2,0,1,2,-1,2,-1,1,1,-3,2,3,0
175,mouse,2,2,2,1,2,2,1,2,2,0,2,0,1,2,-1,3,2,3,2,2,1,2,2,-1,0,0,2,2,0,3,1,1,2,-1,-1,1,-1,2,2,0
