"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"27",-3,-2,-3,-1,-2,-1,-3,-2,-3,-3,-2,-2,-3,-2,-3,-3,-3,-2,-2,-3,-2,-2,-3,-3,-3,-3,-2,-3,-2,-2,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3
"28",-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"29",-3,-3,-2,-3,-3,-2,-1,-3,0,-2,-2,-3,-2,-2,-1,-3,-2,-3,-3,-2,1,-3,-2,-3,-2,-1,-2,-3,-3,-2,-3,-3,0,-3,0,-3,-3,-1,-1,-2
"30",-3,-3,-3,2,-3,-3,0,3,-3,3,0,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3
"31",-2,-3,-3,-3,-3,-2,-2,0,-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32",-3,-3,-3,-2,-1,-3,-2,1,-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"33",-1,-1,2,-2,1,3,-1,-1,2,2,2,-1,2,1,-1,2,-1,-1,2,-2,0,2,1,2,-1,-2,1,-1,-2,-1,1,-1,2,-2,3,-1,3,2,-1,-1
"34",-2,1,1,-3,2,1,1,1,2,2,1,-3,0,0,-2,-3,-3,0,-3,-3,-2,0,1,0,-2,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"35",-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"36",-1,-3,-3,-3,0,-3,-3,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"37",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"39",-1,-3,-2,-2,-3,-2,-2,-1,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"40",-1,3,-1,3,3,3,3,3,3,3,-3,-3,1,-2,1,-3,-3,-1,-3,-3,-3,-3,1,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"41",0,1,0,2,-2,2,2,-1,1,3,-1,-3,-3,-3,-1,-3,-3,-2,-3,-3,-3,0,-3,-3,-2,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"42",1,-1,-3,2,-1,3,0,3,3,3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-1,-3,-2,0,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3
"43",-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"44",-3,1,-3,1,3,3,1,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"45",0,1,2,0,0,3,1,1,3,3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"46",-3,-2,-3,-2,-3,1,-3,-3,3,3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"47",0,0,0,0,0,3,2,0,3,3,-2,-3,0,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"48",0,0,0,0,-3,0,1,3,3,3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"49",0,0,0,-1,1,0,-1,3,0,1,1,0,0,0,0,-1,0,0,-2,-2,0,0,-2,0,0,1,0,0,0,-1,1,-1,1,-1,1,0,-1,-2,1,0
"50",-3,2,-3,-3,-3,-1,-1,-1,-1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3
"51",1,1,-1,2,0,1,0,0,1,1,2,0,1,1,0,0,1,0,2,1,1,0,0,1,0,1,0,1,1,1,0,0,1,2,1,1,0,2,0,1
"52",3,2,3,3,3,3,3,3,3,3,-3,-3,0,0,0,-3,-3,0,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"53",0,2,2,0,-1,1,2,2,2,3,0,-3,2,-1,0,-3,-2,0,-3,-3,-3,-3,0,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3
"54",3,3,3,0,2,3,3,3,3,3,-3,-3,2,-3,-1,-3,-3,-3,-3,-3,-3,3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"55",2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2
"56",-3,-3,-3,-3,-3,-2,-3,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"57",-3,2,-3,-3,-3,1,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
