condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
mouse,2,2,3,3,3,3,3,2,3,0,-3,1,0,2,-3,3,3,3,3,3,0,1,3,-3,-3,0,3,2,3,2,3,0,2,-3,-3,2,-3,2,3,-3
frog,-2,-3,1,-1,1,2,2,0,0,-1,0,0,-2,0,-3,2,2,2,-1,1,-2,0,0,-3,-2,-2,0,-2,0,-1,-2,-3,-2,-2,-2,-1,-2,-2,1,-2
goat,2,2,1,1,0,1,2,-1,0,0,-3,1,2,0,-3,3,1,2,2,-3,2,2,0,0,-3,0,0,-1,-1,-1,-1,-1,1,-3,-1,1,-1,2,2,1
infant,0,-2,0,0,0,0,0,0,0,-2,-2,0,-2,-1,0,0,0,0,0,0,0,0,-1,-2,-2,-1,-1,-2,-2,-1,0,0,0,0,0,0,-2,0,0,-1
blue jay,2,0,2,0,1,2,2,2,2,-1,-2,-1,-1,2,-1,3,1,2,0,3,0,2,2,-1,-1,-3,1,0,1,-1,-1,-2,-1,1,-2,1,-2,0,1,1
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dolphin,2,2,3,2,2,3,2,2,2,2,-3,1,-3,2,-2,3,3,3,2,2,1,2,2,-3,-3,1,-3,-3,-3,-3,2,-3,1,-3,1,2,-3,3,2,-3
bear,-2,-2,0,1,-2,1,3,2,2,-2,-3,0,-1,-1,-3,3,2,1,1,-1,-2,0,-1,-2,-3,1,-1,-2,2,-1,-2,0,1,-3,-2,-1,-3,-1,-1,-3
frog,2,2,2,0,2,2,2,3,0,1,-1,2,-2,1,-2,3,3,3,2,1,1,2,3,-2,-2,1,0,-1,1,1,2,3,2,-2,-2,1,-2,2,2,0
fish,-2,-3,-3,-3,1,1,3,3,2,0,-3,2,-3,2,-3,3,1,3,0,-1,-3,-2,0,-3,-3,1,-3,-2,-3,-3,-3,-3,-3,-3,-3,0,-3,-1,1,-3
adult,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3
microbe,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dog,1,0,1,1,1,1,2,1,3,1,-1,1,-1,1,0,1,1,2,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,2,0,1,1,1,1,1,1
beetle,-2,-3,1,-2,0,3,1,3,3,2,-3,-1,-2,0,-2,3,-1,2,-3,0,-2,0,1,-3,-2,1,0,-2,0,1,2,-1,2,-2,-2,-2,-2,-2,-1,-3
child,2,-1,3,1,1,2,2,1,2,-2,0,2,-1,2,-1,3,3,3,2,1,2,2,3,0,-1,-1,-1,-2,3,0,1,-1,1,2,0,2,2,2,2,1
bear,1,0,1,-1,2,1,0,1,2,-1,-1,1,2,0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,2,1,1,-1,1,0,1,1,-1,2,0,1
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
chimpanzee,3,3,3,3,3,2,2,3,1,2,-2,1,1,2,2,3,3,3,3,2,2,3,1,0,3,1,1,-1,3,1,2,1,3,3,2,3,1,3,2,3
car,-2,-1,3,-2,3,2,-2,-1,1,1,2,-1,2,3,0,2,-1,-1,1,2,-1,-1,-1,-2,-1,2,2,1,2,-1,1,2,-1,2,-1,-1,-1,-2,-1,2
infant,2,-2,2,3,0,2,3,2,0,-1,-3,-1,-2,-2,-3,3,3,3,-1,1,3,3,0,-3,-2,-1,1,-3,-2,-1,-2,-2,3,-3,-2,2,-3,-1,0,1
dog,3,3,3,3,3,3,3,3,3,3,-1,1,-1,3,-3,3,3,3,3,3,3,3,3,1,3,-1,3,3,0,3,-1,0,3,3,3,3,3,3,3,3
car,-3,-3,-3,-3,-3,2,-3,1,1,2,2,-2,0,1,-2,-3,-3,-3,-3,-3,-3,1,1,-3,-3,0,1,0,0,-2,-2,1,-3,-3,-2,-3,0,-1,-3,-3
elephant,0,0,3,3,0,3,3,3,3,-3,-3,0,-2,3,-3,3,3,3,-2,0,1,3,3,-3,3,1,0,0,-2,0,3,1,0,-3,0,0,-3,-3,0,-3
computer,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2
mouse,0,-3,3,-3,1,3,3,3,2,-1,-3,-2,-2,0,-3,3,1,3,-1,3,-2,-2,0,-3,-3,2,2,-3,3,-1,0,1,0,-3,-3,-1,-3,-1,1,-3
chimpanzee,1,-1,2,2,2,2,2,2,2,2,-2,1,0,2,-3,3,3,3,2,2,-1,2,3,0,-1,2,2,-1,-2,1,2,1,1,-2,0,0,-2,1,2,-2
microbe,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3
microbe,-3,-2,-3,-3,-1,1,-2,-1,-2,0,-2,-2,-1,0,-3,1,-1,-1,-3,-1,-3,0,0,-3,-3,-2,0,0,1,1,-1,-2,-3,-3,-2,-3,-2,-2,-3,-2
computer,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
child,3,3,3,3,3,3,3,3,3,0,-3,3,0,1,2,3,3,3,3,3,3,3,2,1,1,1,1,-1,3,0,3,0,3,2,0,3,-1,3,3,1
car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dolphin,0,-3,1,-2,0,3,3,1,0,1,-3,0,-3,0,-2,3,-1,1,0,0,-2,1,1,-3,-3,3,1,-3,1,0,0,1,1,-2,-1,1,-3,-2,1,-3
person in a persistant vegetative state,-2,-2,-2,-2,-1,-2,-3,-1,-1,-1,-3,-3,-3,-3,-1,-2,-2,-1,-1,-1,-1,-3,-3,-1,-1,-2,-3,-3,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,-2,-1
fish,-3,-3,-2,-3,0,3,2,3,-2,3,-2,-2,-1,-1,-2,3,-2,1,-2,3,-3,2,3,-3,-3,-1,-2,-3,-2,-2,0,-1,-3,-3,-2,-3,-3,1,-3,-3
goat,3,0,0,-1,-1,0,0,0,1,-1,-3,1,0,1,0,3,-1,1,0,2,2,-3,-3,-2,0,1,2,0,1,1,-1,1,-1,-1,-3,-1,-2,-1,3,-1
person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
frog,-1,-2,-1,-2,-1,3,3,2,0,-1,-1,-2,-1,-1,-1,2,1,1,-2,-1,-2,0,-1,-2,-2,-1,-2,0,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,0,-2
bear,0,0,0,0,1,3,3,2,3,3,-3,0,2,3,-1,3,3,3,3,1,0,0,1,-1,0,0,3,0,2,1,1,2,1,0,0,0,-2,0,3,0
dog,3,3,3,2,1,3,1,2,3,2,-3,0,-2,2,-3,3,3,3,2,2,0,3,-1,0,-2,-2,0,-1,-2,-2,-1,0,-1,-1,2,3,-1,1,3,-3
blue jay,2,-2,2,0,-2,2,3,2,-2,-2,-3,-1,-2,-1,-3,3,2,3,2,1,-1,0,0,-2,-2,0,-1,-2,-2,-2,-2,-1,0,-2,-1,0,-2,-2,-2,-2
computer,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fetus,-2,-3,-3,-3,-3,-2,-3,2,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3
dolphin,3,3,3,3,3,3,3,3,3,3,-3,3,-2,0,0,3,3,3,3,3,3,0,3,-3,-3,0,1,-3,3,3,0,-3,3,3,0,3,-3,3,3,3
microbe,-1,-3,-3,-3,-3,-3,-3,0,-3,-3,0,-3,-1,-1,-3,-3,-3,-3,-3,1,-3,0,3,-3,-3,-2,3,-3,0,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
blue jay,1,0,3,1,3,3,3,3,3,2,-3,-2,-2,0,-3,3,3,3,3,3,0,2,3,-1,0,3,3,3,0,3,3,-3,0,-3,1,3,-3,3,3,0
infant,1,-1,-1,-2,-1,2,1,1,1,-2,-3,0,-2,0,-3,1,1,2,-3,-2,-2,2,-2,-3,-3,-1,0,-2,-3,-2,-2,-1,-2,-3,-2,1,-2,-3,1,-3
child,2,-1,2,2,1,2,2,2,1,2,0,1,0,-1,1,2,2,2,2,2,0,2,0,0,-1,2,0,0,1,-1,2,0,2,1,-1,2,0,2,2,1
car,-3,-3,-3,-3,-3,1,-3,3,-3,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
frog,-1,-3,-1,-1,2,3,3,0,0,1,-3,-1,-3,-1,-3,2,2,3,-3,0,-3,-3,0,-3,-3,1,-1,-3,-1,-2,-1,-2,1,-3,-3,-1,-2,-2,1,-3
beetle,-2,-2,0,0,-1,0,0,1,2,0,-2,-1,-1,-2,-3,0,-1,-1,0,1,-2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-2,-2,-1,-1,-2,-2,-2,0
robot,-3,-3,-3,-3,-3,3,-1,1,0,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,0,3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fetus,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3
chimpanzee,3,-3,3,1,0,2,2,-2,1,-2,-2,1,0,1,-3,3,3,3,0,3,-2,3,3,-2,-1,1,2,-3,-2,-1,0,-2,-2,-2,-2,2,-3,-2,3,-3
mouse,1,1,2,0,1,2,2,2,2,2,0,1,1,2,-1,2,2,2,0,0,-1,1,1,-2,-2,2,2,1,2,1,2,0,1,-2,-2,0,-2,1,1,0
person in a persistant vegetative state,-1,1,-1,-2,1,-1,-2,-2,0,-1,-3,-1,-3,-2,0,0,-2,-1,-1,-1,0,-3,-1,-1,-1,-2,-1,0,-2,-2,-2,0,1,-3,-1,0,-2,-2,-1,-1
chimpanzee,0,2,1,1,1,3,3,-1,3,0,1,0,0,2,-3,3,3,3,-1,-2,1,3,1,2,-2,0,3,-2,2,1,0,-2,0,-2,1,2,-2,3,3,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
microbe,-3,-3,-3,-2,-3,-3,-2,2,-2,0,-1,-2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-1,-3,-3,-1,-1,0,-3,1,-2,-1,-2,-3,-3,-3,-2,-3,-2,-3
mouse,-2,-2,0,-2,-2,-1,-1,-1,-1,-3,-3,-2,-2,-2,-1,2,-2,-1,-1,-1,-2,-2,-1,-3,-3,-1,-2,-2,-3,-2,-3,0,-2,-3,-3,-2,-2,-2,-1,-3
fish,3,-3,3,-3,3,3,3,3,-3,3,0,-3,0,3,-3,3,3,3,-3,3,-3,3,3,-3,-3,-3,3,3,0,-3,-3,3,-3,-3,-3,-3,-3,-3,3,-3
computer,-3,-3,-3,-2,-3,-1,-2,0,-3,-1,3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3
robot,-3,-3,-3,-3,-3,3,3,3,2,0,3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,3,2,-3,-3,-3,0,-3,-2,3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3
computer,-3,-3,-3,-3,-3,1,-3,1,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
frog,-1,2,3,-1,2,3,3,2,2,2,-2,-2,-2,1,-2,3,1,3,-1,-1,-1,3,3,-3,-3,-1,-1,-1,-3,-2,3,-1,2,-3,-1,0,-2,-1,0,-2
bear,0,0,2,2,0,3,3,1,3,1,-3,1,-2,2,-2,3,2,3,2,1,0,2,-2,-1,-2,1,0,-2,2,-2,3,1,1,-2,-2,0,-1,0,2,-1
blue jay,3,-3,3,3,3,3,3,3,3,2,-3,3,0,3,-2,3,3,3,1,3,0,0,3,-3,-3,3,3,-2,3,3,2,0,3,-3,-3,3,-3,3,3,-1
elephant,2,1,3,1,1,3,3,2,2,1,-3,0,1,3,-3,3,3,3,1,3,2,3,3,-1,-2,2,2,2,-1,2,0,0,1,-1,-1,2,-2,3,2,1
robot,-3,-3,-3,0,-3,2,3,2,3,0,2,-3,0,2,-3,-3,-3,-3,-3,-3,-3,2,3,-3,0,-3,2,0,-3,1,-3,-3,-3,-3,0,-3,1,-3,-3,-3
child,3,-1,3,2,-1,0,0,0,1,0,-1,3,1,1,-1,3,3,2,2,2,3,3,1,1,-2,0,1,0,0,1,0,1,0,3,-2,3,-1,2,2,2
blue jay,3,3,3,3,3,3,3,3,3,3,-3,3,-3,0,-3,3,3,3,0,3,-3,3,3,-3,-3,3,3,-3,3,1,3,3,3,-3,-3,3,-3,3,3,-3
adult,3,1,1,1,1,2,3,2,2,2,3,1,1,3,2,2,2,2,2,1,1,3,2,1,1,3,2,1,2,3,2,3,3,2,2,2,3,2,3,0
person in a persistant vegetative state,-3,-3,-3,-3,-2,-2,-3,-2,-2,-3,-3,-2,-3,-2,-2,-2,-3,-2,-3,-3,-3,-2,-2,-3,-3,-2,-3,-3,-2,-3,-2,-2,-2,-3,-3,-2,-3,-2,-3,-3
dog,3,3,3,3,3,3,3,3,3,3,-2,3,-1,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,-2,3,-1,3,0,3,3,2,3,3,-1
child,3,1,3,2,2,3,3,2,3,1,-2,3,1,2,2,3,3,3,3,3,3,2,3,2,2,3,0,-1,3,1,3,-1,3,2,1,3,1,3,3,2
fish,-3,-3,-2,-3,-2,-2,0,-1,-2,-2,-3,-2,-3,-2,-3,-2,-2,-2,-3,-2,-3,-2,-1,-3,-3,-3,-3,-2,-3,-1,-1,-2,-3,-3,-2,-3,-3,-3,-3,-3
dog,3,3,3,3,3,3,3,3,3,3,-1,2,1,2,0,3,3,3,3,3,3,3,2,3,1,2,2,1,2,2,2,2,2,2,1,3,2,3,3,2
microbe,-3,-3,-3,-3,-3,-2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,0,1,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
beetle,-3,-3,1,-3,-3,1,3,2,1,-3,-3,-3,-3,-3,-3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3
mouse,-2,-3,1,1,1,3,3,2,1,2,-2,2,-2,1,-2,3,-1,3,0,0,1,0,1,-2,-3,3,2,0,0,-2,2,2,-2,-2,-1,-2,-2,0,1,-2
bear,0,-1,2,2,1,3,3,2,3,1,-2,2,-1,0,-2,3,3,3,2,1,0,2,0,1,-1,1,3,-1,-1,1,3,-1,0,-2,-2,1,-2,1,2,0
dolphin,3,1,2,2,1,3,3,2,2,3,-2,3,2,2,0,3,3,3,-1,0,3,3,3,1,0,3,2,0,2,1,3,3,3,0,1,3,1,2,3,0
car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dolphin,2,2,2,1,1,3,3,3,2,-1,-2,1,-1,1,-2,3,3,3,1,2,1,2,2,0,0,1,1,-1,1,1,2,-2,2,0,-1,2,0,2,2,-1
infant,2,1,0,1,2,1,2,1,1,0,-2,-1,-2,-2,-3,3,3,3,1,2,2,1,-2,-2,-2,-1,0,-2,0,1,-1,0,1,-1,-1,2,-3,1,2,-2
chimpanzee,1,1,3,3,-2,-2,3,3,2,2,-2,2,-2,1,-3,3,3,3,2,0,0,0,0,-2,-2,0,-2,-2,-2,-2,0,-2,-1,-2,-2,-1,-3,1,2,-2
fetus,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-2,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
elephant,3,1,2,2,2,3,3,2,1,1,1,1,1,2,0,3,2,3,1,2,3,2,2,1,2,0,0,2,1,1,1,1,1,0,2,2,0,2,1,2
robot,-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
stapler,-1,-2,0,1,3,2,-1,0,0,-2,-1,2,-3,-3,-3,0,2,2,0,1,1,-2,0,1,-2,-3,1,-1,2,-1,-1,1,-1,3,1,1,1,1,-1,1
chimpanzee,1,2,3,1,1,2,3,3,3,3,1,-3,-3,3,-3,3,3,3,3,3,1,3,3,-3,1,2,3,2,1,1,3,1,1,-3,1,3,1,2,1,1
person in a persistant vegetative state,1,3,3,1,3,0,0,-3,2,2,1,3,2,2,2,0,1,1,-3,1,2,2,-3,1,2,3,0,0,-1,-3,2,3,2,0,1,-1,3,2,-2,-2
dog,3,3,3,2,3,3,3,3,3,1,-1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,3,3,3,2,3,2,2,3,0,3,3,1
goat,0,0,2,3,2,3,3,2,2,0,-2,0,0,1,-2,3,3,2,3,0,0,2,1,-2,-1,3,1,1,0,1,1,1,1,-2,-1,0,-2,2,1,1
car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
goat,2,2,2,3,0,3,3,3,3,3,-3,2,-1,2,0,3,3,3,-1,2,2,3,1,1,-2,2,2,-2,3,2,3,-1,3,-1,-3,3,-2,3,3,2
blue jay,3,0,3,3,3,3,3,2,2,3,2,2,0,3,0,3,3,3,1,3,2,2,0,0,0,3,3,0,3,2,2,2,3,-2,0,3,-3,3,3,2
dolphin,3,2,3,1,3,3,3,3,3,-1,-1,2,2,3,-2,3,3,3,3,1,-1,3,3,0,2,3,2,0,1,1,2,1,3,-3,0,3,-2,2,2,0
mouse,-2,2,3,2,-1,3,2,3,3,2,-1,0,-3,3,-2,3,2,3,2,3,-1,2,2,-3,-2,-3,2,1,2,1,-3,-3,3,-3,-3,-1,-1,1,3,-3
bear,0,-2,0,2,3,3,3,3,3,3,-2,3,2,2,-3,3,3,3,0,3,0,3,0,-3,-1,2,2,-2,3,2,2,0,3,-3,-3,1,-2,2,3,1
person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fetus,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
microbe,0,-2,1,-1,-1,0,-2,1,1,0,-2,-2,-2,1,-2,3,-2,2,-1,1,-2,0,2,-2,-2,-2,-1,0,-2,1,1,-1,0,-3,-2,0,-3,0,-2,-3
computer,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,0,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
goat,0,0,3,-3,2,1,2,3,3,-3,-3,-3,-3,-3,-2,3,2,3,0,0,-2,-2,-1,-3,-2,-2,-3,-2,-2,-3,-2,-2,-2,-2,-3,-2,-3,-2,0,-3
child,3,1,3,2,3,1,2,1,2,0,-1,1,0,0,0,3,3,3,3,2,3,2,1,-1,-2,1,0,-1,0,0,-1,0,1,-1,0,3,0,3,2,1
infant,2,-1,2,2,1,1,3,2,2,0,-2,0,-3,1,-1,3,3,3,1,1,1,2,1,0,0,-1,1,-1,1,-1,0,0,2,0,-1,1,-2,1,2,0
computer,-3,-3,-3,-3,-3,2,-1,3,-3,-1,3,-2,0,1,-2,-2,-1,-3,-2,0,-3,0,0,-3,-3,-3,1,1,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
microbe,-3,-3,-3,-3,-3,-3,-3,-1,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3
elephant,0,0,2,2,2,0,2,2,1,2,2,1,2,3,0,0,2,2,0,2,1,1,1,2,-2,1,2,2,1,1,1,3,-1,-2,2,3,0,2,2,0
microbe,-3,-3,-3,-3,-3,1,-2,1,0,1,-1,-3,-3,-3,-3,1,-2,0,-3,-3,-3,-3,1,-3,-3,-3,0,-3,-3,-1,-3,0,-3,-3,-3,-3,-3,-3,-3,-3
dog,3,3,3,-2,3,3,3,3,3,2,-3,3,-1,3,-3,3,3,3,3,3,3,3,3,-3,-3,3,3,3,-3,3,3,3,3,-3,3,3,-3,3,3,3
mouse,-2,-2,3,-1,-2,3,3,3,3,1,-3,3,-2,3,-3,3,3,3,0,3,-3,-1,3,-3,-3,3,3,-2,3,3,3,-3,3,-3,-3,-3,-3,-3,-3,-3
frog,-1,-1,0,-1,-1,2,-1,2,2,2,-3,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-3,-1,-1,-1,-1,-1,2,-1
dog,2,2,3,1,0,3,3,3,3,-1,-3,1,-3,3,-3,3,2,3,3,3,3,3,1,1,-3,0,0,-2,-1,-3,2,-2,0,-3,-1,3,-2,3,3,-3
frog,-2,-2,-1,-1,-1,2,2,2,2,0,-2,-2,-2,-2,-3,2,1,0,0,0,-2,-1,1,-3,-3,-2,-1,-2,-2,-1,-1,-2,-1,-3,-2,-2,-3,-2,0,-2
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
microbe,-3,-3,-3,-3,-3,-3,-3,1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-2,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
fish,-1,-3,3,1,1,3,3,3,-1,-1,-3,-2,-1,-2,-3,3,-1,3,-1,-2,-2,-3,-1,-3,-3,-1,-1,-3,-3,-1,3,-3,-1,-3,-2,-2,-3,-3,1,-3
beetle,-3,-3,-3,-3,-3,-2,-2,-1,-2,-3,-3,-2,-3,-3,-3,-2,-3,-1,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
child,1,0,2,1,1,1,2,1,1,1,0,1,0,0,1,2,1,2,-1,1,1,2,1,1,1,0,0,0,0,-1,1,0,1,1,0,2,1,1,1,0
bear,3,1,2,2,2,3,3,2,3,1,-3,3,3,1,0,3,3,3,1,0,0,2,2,0,1,1,3,2,1,2,-2,1,1,0,-2,1,1,2,2,2
robot,0,-1,1,1,2,3,3,3,-1,3,3,2,1,3,-2,-2,1,-1,-2,2,-1,2,2,0,-1,1,3,2,2,0,0,1,1,0,1,1,1,-1,0,-1
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dolphin,3,2,3,2,3,3,2,3,3,3,-1,3,1,2,0,3,3,3,2,2,2,3,3,-1,1,1,2,0,2,2,1,1,2,0,2,3,0,2,3,1
